Shape,Time(s),Recall,F1 score,Precision,window size,kmer
32,4.61,0.342,0.503,0.949,7,11
32,4.94,0.351,0.513,0.947,7,10
32,5.68,0.359,0.521,0.946,7,9
16,1.59,0.225,0.365,0.963,7,18
16,2.04,0.265,0.415,0.96,7,17
16,2.47,0.287,0.442,0.958,7,16
16,2.88,0.302,0.459,0.956,7,15
16,3.37,0.317,0.475,0.953,7,14
16,3.8,0.329,0.489,0.951,7,13
16,4.17,0.336,0.497,0.95,7,12
16,4.51,0.342,0.503,0.949,7,11
16,4.9,0.351,0.513,0.947,7,10
16,5.29,0.359,0.521,0.946,7,9
8,1.58,0.225,0.365,0.963,7,18
8,2.03,0.265,0.415,0.96,7,17
8,2.48,0.287,0.442,0.958,7,16
8,2.94,0.302,0.459,0.956,7,15
8,3.41,0.317,0.475,0.953,7,14
8,3.81,0.329,0.489,0.951,7,13
8,4.18,0.336,0.497,0.95,7,12
8,4.52,0.342,0.503,0.949,7,11
8,4.92,0.351,0.513,0.947,7,10
8,5.49,0.359,0.521,0.946,7,9
4,1.56,0.225,0.365,0.963,7,18
4,2.03,0.265,0.415,0.96,7,17
4,2.49,0.287,0.442,0.958,7,16
4,2.9,0.302,0.459,0.956,7,15
4,3.35,0.317,0.475,0.953,7,14
4,3.82,0.329,0.489,0.951,7,13
4,3.99,0.336,0.497,0.95,7,12
4,4.82,0.342,0.503,0.949,7,11
4,4.91,0.351,0.513,0.947,7,10
4,5.29,0.359,0.521,0.946,7,9
2,1.54,0.225,0.365,0.963,7,18
2,2.07,0.265,0.415,0.96,7,17
2,2.54,0.287,0.442,0.958,7,16
2,2.95,0.302,0.459,0.955,7,15
2,3.45,0.317,0.475,0.953,7,14
2,3.86,0.329,0.489,0.951,7,13
2,4.11,0.336,0.497,0.95,7,12
2,4.76,0.342,0.503,0.949,7,11
2,4.87,0.351,0.513,0.947,7,10
2,5.18,0.359,0.521,0.946,7,9
